game_card_id	game_name	game_description	game_gen	game_rarity	game_element	mapping_role	event_kind	mtg_name	mtg_type_line	mtg_mana_value	mtg_colors	mtg_rarity	mtg_set	mtg_released_at	mtg_scryfall_id	mtg_scryfall_uri	mtg_image_normal	mtg_oracle_text	override_reason
1111	Ice Cave Otter	A hairy creature that lives in ice caves and is said to sleep 20 hours a day.	0	0	12	creature		Trained Pronghorn	Creature — Antelope	2.0	W	common	jud	2002-05-27	720ec745-226c-4211-974f-e04a4f9e1902	https://scryfall.com/card/jud/30/trained-pronghorn?utm_source=api	https://cards.scryfall.io/normal/front/7/2/720ec745-226c-4211-974f-e04a4f9e1902.jpg?1562630404	Discard a card: Prevent all damage that would be dealt to this creature this turn.	
1112	Weiwei Weasel	A cunning creature that is good at climbing trees and has many tricks. Its attack method is to continuously throw spiked pine cones on the trees.	0	0	7	creature		Taunting Elf	Creature — Elf	1.0	G	common	ons	2002-10-07	6b24af94-9632-47da-9bf3-e81bb743cd43	https://scryfall.com/card/ons/290/taunting-elf?utm_source=api	https://cards.scryfall.io/normal/front/6/b/6b24af94-9632-47da-9bf3-e81bb743cd43.jpg?1562920244	All creatures able to block this creature do so.	
1113	Le Songhu	It is intelligent and has healing power. It can use various flowers and plants to make herbal dressings to help the animals in the forest heal.	0	0	7	creature		Mesa Pegasus	Creature — Pegasus	2.0	W	common	5ed	1997-03-24	552089f3-1ae4-4f73-a19c-731ef98e1979	https://scryfall.com/card/5ed/47/mesa-pegasus?utm_source=api	https://cards.scryfall.io/normal/front/5/5/552089f3-1ae4-4f73-a19c-731ef98e1979.jpg?1562590866	Flying; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)	
1114	Coius	It is said that it comes from an alien planet and has great respect for its master, but is hostile to unfamiliar creatures.	0	0	9	creature		Hunter Sliver	Creature — Sliver	2.0	R	common	lgn	2003-02-03	ca9aea1a-6f50-4f66-9f36-2e214dce41b4	https://scryfall.com/card/lgn/102/hunter-sliver?utm_source=api	https://cards.scryfall.io/normal/front/c/a/ca9aea1a-6f50-4f66-9f36-2e214dce41b4.jpg?1562935688	All Sliver creatures have provoke. (Whenever a Sliver attacks, its controller may have target creature defending player controls untap and block it if able.)	
1115	Berry-tailed monkey	The sleeping habits are similar to those of rabbits, gentle and timid. There is a pink berry on the tail.	0	0	2	creature		Wellwisher	Creature — Elf	2.0	G	common	ons	2002-10-07	be95ab7c-0e77-4293-aa48-ee54902a363f	https://scryfall.com/card/ons/300/wellwisher?utm_source=api	https://cards.scryfall.io/normal/front/b/e/be95ab7c-0e77-4293-aa48-ee54902a363f.jpg?1562939969	{T}: You gain 1 life for each Elf on the battlefield.	
1116	Bouncing Mouse	Jump with both feet together, jumping high.	0	0	7	creature		Standing Troops	Creature — Human Soldier	3.0	W	common	7ed	2001-04-11	8ccb299f-5601-4852-9fea-3c375b4851e8	https://scryfall.com/card/7ed/48/standing-troops?utm_source=api	https://cards.scryfall.io/normal/front/8/c/8ccb299f-5601-4852-9fea-3c375b4851e8.jpg?1562242638	Vigilance	
1117	Fucaolong	A timid social creature, it feels safe in the shade of trees.	0	0	7	creature		Daru Spiritualist	Creature — Human Cleric	2.0	W	common	scg	2003-05-26	18f26b88-cffc-47ed-a70a-7d704a32c8bb	https://scryfall.com/card/scg/5/daru-spiritualist?utm_source=api	https://cards.scryfall.io/normal/front/1/8/18f26b88-cffc-47ed-a70a-7d704a32c8bb.jpg?1562526069	Whenever a Cleric creature you control becomes the target of a spell or ability, it gets +0/+2 until end of turn.	
1118	Ye Pipi	A hedgehog that can disguise itself as a plant.	0	0	2	creature		Willow Dryad	Creature — Dryad	1.0	G	common	por	1997-05-01	1def835b-aabb-4a9d-8fb9-460452de0d79	https://scryfall.com/card/por/193/willow-dryad?utm_source=api	https://cards.scryfall.io/normal/front/1/d/1def835b-aabb-4a9d-8fb9-460452de0d79.jpg?1562445686	Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)	
1119	Gawuniao	It lives on rock walls and comes out to hunt at night.	0	0	5	creature		Viashino Sandscout	Creature — Lizard Scout	2.0	R	common	ulg	1999-02-15	12dd888a-ca98-44dd-a213-858c3539dc97	https://scryfall.com/card/ulg/96/viashino-sandscout?utm_source=api	https://cards.scryfall.io/normal/front/1/2/12dd888a-ca98-44dd-a213-858c3539dc97.jpg?1562862319	Haste (This creature can attack and {T} as soon as it comes under your control.)\nAt the beginning of the end step, return this creature to its owner's hand. (Return it only if it's on the battlefield.)	
1120	Big-eared monkey	He is keenly aware of what is happening around him and is very timid.	0	0	7	creature		Benalish Hero	Creature — Human Soldier	1.0	W	common	5ed	1997-03-24	32dcd608-ef94-4047-841d-5c3471375d5d	https://scryfall.com/card/5ed/10/benalish-hero?utm_source=api	https://cards.scryfall.io/normal/front/3/2/32dcd608-ef94-4047-841d-5c3471375d5d.jpg?1562590164	Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)	
1121	Curse Owl	Birds with high intelligence use mysterious magic power to roll up wind walls to impede the movement of enemies.	0	0	11	creature		Mtenda Lion	Creature — Cat	1.0	GU	common	mir	1996-10-08	cb05cf5b-2a0d-432a-b8e7-10335c2a18e8	https://scryfall.com/card/mir/230/mtenda-lion?utm_source=api	https://cards.scryfall.io/normal/front/c/b/cb05cf5b-2a0d-432a-b8e7-10335c2a18e8.jpg?1587912668	Whenever this creature attacks, defending player may pay {U}. If that player does, prevent all combat damage that would be dealt by this creature this turn.	
1122	Tide otter	Can read the memory of water flow, and often uses phantoms at night to make travelers get lost.	0	0	1	creature		Merfolk of the Pearl Trident	Creature — Merfolk	1.0	U	common	7ed	2001-04-11	a2e7d1a5-b8ad-48e8-9b54-3663310eca33	https://scryfall.com/card/7ed/90/merfolk-of-the-pearl-trident?utm_source=api	https://cards.scryfall.io/normal/front/a/2/a2e7d1a5-b8ad-48e8-9b54-3663310eca33.jpg?1587857602		
1123	Chi Chu	Use high temperatures to restructure matter and cook non-existent ingredients into energy for fighting.	0	0	0	creature		Cinder Crawler	Creature — Salamander	2.0	R	common	exo	1998-06-15	a9406050-d76b-4569-a463-e21acaf84166	https://scryfall.com/card/exo/80/cinder-crawler?utm_source=api	https://cards.scryfall.io/normal/front/a/9/a9406050-d76b-4569-a463-e21acaf84166.jpg?1562088777	{R}: This creature gets +1/+0 until end of turn. Activate only if this creature is blocked.	
1124	Explosive Jar Spirit	It is formed from the residual gas of discarded gas tanks. The higher the pressure, the more dangerous it is.	0	0	11	creature		Homarid	Creature — Homarid	3.0	U	common	fem	1994-11-01	d6ffeab4-83b1-4414-ae72-e59a2354ea15	https://scryfall.com/card/fem/19a/homarid?utm_source=api	https://cards.scryfall.io/normal/front/d/6/d6ffeab4-83b1-4414-ae72-e59a2354ea15.jpg?1562935176	This creature enters with a tide counter on it.\nAt the beginning of your upkeep, put a tide counter on this creature.\nAs long as there is exactly one tide counter on this creature, it gets -1/-1.\nAs long as there are exactly three tide counters on this creature, it gets +1/+1.\nWhenever there are four or more tide counters on this creature, remove all tide counters from it.	
1201	Rockhelm Lizard	Lives in caves and has a hard helmet.	0	1	5	creature		Crashing Centaur	Creature — Centaur	6.0	G	uncommon	ody	2001-10-01	e1f3a32a-bfd2-4c31-a349-3e62a84c20e1	https://scryfall.com/card/ody/235/crashing-centaur?utm_source=api	https://cards.scryfall.io/normal/front/e/1/e1f3a32a-bfd2-4c31-a349-3e62a84c20e1.jpg?1562937245	{G}, Discard a card: This creature gains trample until end of turn.\nThreshold — As long as there are seven or more cards in your graveyard, this creature gets +2/+2 and has shroud. (It can't be the target of spells or abilities.)	
1202	Baidumon	An amphibious fish with scaly wings on its back that spends most of its time in the water.	0	1	1	creature		Willbender	Creature — Human Wizard	2.0	U	uncommon	lgn	2003-02-03	fb33b35b-33c9-4d59-9ed6-7ad40ea82cb0	https://scryfall.com/card/lgn/58/willbender?utm_source=api	https://cards.scryfall.io/normal/front/f/b/fb33b35b-33c9-4d59-9ed6-7ad40ea82cb0.jpg?1562945680	Morph {1}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen this creature is turned face up, change the target of target spell or ability with a single target.	
1203	Snow Fairy	Appears in the forest in the early morning and can turn dew into ice crystals.	0	1	12	creature	christmas	Voice of Law	Creature — Angel	4.0	W	uncommon	usg	1998-10-12	daec52a4-02da-4bff-aff4-5247baed1326	https://scryfall.com/card/usg/55/voice-of-law?utm_source=api	https://cards.scryfall.io/normal/front/d/a/daec52a4-02da-4bff-aff4-5247baed1326.jpg?1562941229	Flying, protection from red	
1204	Zhang Bobo	The tentacles on the top of the head are actually hair.	0	1	1	creature		Coral Fighters	Creature — Merfolk Soldier	2.0	U	uncommon	mir	1996-10-08	08f9dfa0-bdb3-4419-ae4b-cc394552af74	https://scryfall.com/card/mir/59/coral-fighters?utm_source=api	https://cards.scryfall.io/normal/front/0/8/08f9dfa0-bdb3-4419-ae4b-cc394552af74.jpg?1562717826	Whenever this creature attacks and isn't blocked, look at the top card of defending player's library. You may put that card on the bottom of that player's library.	
1205	Kaqi Fox	A friendly herbivore, good at using camouflage to avoid enemy attacks.	0	1	0	creature		Primordial Ooze	Creature — Ooze	1.0	R	uncommon	5ed	1997-03-24	a53d8d6d-b8d3-4f71-a88a-5d639ce2925f	https://scryfall.com/card/5ed/261/primordial-ooze?utm_source=api	https://cards.scryfall.io/normal/front/a/5/a53d8d6d-b8d3-4f71-a88a-5d639ce2925f.jpg?1562593253	This creature attacks each combat if able.\nAt the beginning of your upkeep, put a +1/+1 counter on this creature. Then you may pay {X}, where X is the number of +1/+1 counters on it. If you don't, tap this creature and it deals X damage to you.	
1206	Pan Xiaoda	A panda with red pupils, good at boxing and kicking.	0	1	7	creature		Defiant Vanguard	Creature — Human Rebel	3.0	W	uncommon	nem	2000-02-14	4c0bd267-59ec-41df-b0b7-37f6e6d6b073	https://scryfall.com/card/nem/7/defiant-vanguard?utm_source=api	https://cards.scryfall.io/normal/front/4/c/4c0bd267-59ec-41df-b0b7-37f6e6d6b073.jpg?1562629767	When this creature blocks, at end of combat, destroy it and all creatures it blocked this turn.\n{5}, {T}: Search your library for a Rebel permanent card with mana value 4 or less, put it onto the battlefield, then shuffle.	
1207	Volcano Spider	Spiders that live in volcanic areas can spit out scorching silk.	0	1	0	creature		Cinder Elemental	Creature — Elemental	4.0	R	uncommon	mmq	1999-10-04	80b39056-2ee8-4cfd-acbd-ba99f74e788d	https://scryfall.com/card/mmq/183/cinder-elemental?utm_source=api	https://cards.scryfall.io/normal/front/8/0/80b39056-2ee8-4cfd-acbd-ba99f74e788d.jpg?1562381825	{X}{R}, {T}, Sacrifice this creature: It deals X damage to any target.	
1208	Thunder Eagle	The giant bird that soars in the storm only appears on extremely high peaks. Climbing enthusiasts have witnessed its appearance. It is said that it can reach a height of 7 meters.	0	1	3	creature		Roc Hatchling	Creature — Bird	1.0	R	uncommon	wth	1997-06-09	25857884-6bb7-4a8e-a08b-fa610af8a5c3	https://scryfall.com/card/wth/113/roc-hatchling?utm_source=api	https://cards.scryfall.io/normal/front/2/5/25857884-6bb7-4a8e-a08b-fa610af8a5c3.jpg?1562799881	This creature enters with four shell counters on it.\nAt the beginning of your upkeep, remove a shell counter from this creature.\nAs long as this creature has no shell counters on it, it gets +3/+2 and has flying.	
1209	Vampire Bat Dragon	Ancient dragons living in swamps can secrete toxins from their teeth that can dissolve fat, meat and bones.	0	1	9	creature		Cabal Interrogator	Creature — Zombie Wizard	2.0	B	uncommon	scg	2003-05-26	256a7a37-6f47-47a3-b149-5692aee8b34a	https://scryfall.com/card/scg/57/cabal-interrogator?utm_source=api	https://cards.scryfall.io/normal/front/2/5/256a7a37-6f47-47a3-b149-5692aee8b34a.jpg?1562526599	{X}{B}, {T}: Target player reveals X cards from their hand and you choose one of them. That player discards that card. Activate only as a sorcery.	
1210	White Batmon	An ancient creature with low aggressiveness can use magic power to adjust the size of its body, ranging from a minimum of about 5 centimeters to a maximum of about 5 meters.	0	1	11	creature		Ovinomancer	Creature — Human Wizard	3.0	U	uncommon	vis	1997-02-03	ae4f0988-4194-4481-a6b7-27753261174a	https://scryfall.com/card/vis/39/ovinomancer?utm_source=api	https://cards.scryfall.io/normal/front/a/e/ae4f0988-4194-4481-a6b7-27753261174a.jpg?1562278175	When this creature enters, sacrifice it unless you return three basic lands you control to their owner's hand.\n{T}, Return this creature to its owner's hand: Destroy target creature. It can't be regenerated. That creature's controller creates a 0/1 green Sheep creature token.	
1211	Fever Lizard	It is an omnivorous creature that has very strong adaptability and can live and hunt in magma, lakes, and on the ground.	0	1	9	creature		Yavimaya Gnats	Creature — Insect	3.0	G	uncommon	ice	1995-06-03	9d8b7020-ca8f-4867-bc51-13d824daf154	https://scryfall.com/card/ice/280/yavimaya-gnats?utm_source=api	https://cards.scryfall.io/normal/front/9/d/9d8b7020-ca8f-4867-bc51-13d824daf154.jpg?1587912092	Flying\n{G}: Regenerate this creature.	
1212	Cryolophosaurus	Living in extremely cold glacier areas, it can create sharp ice spikes in its body and spit out high-speed flying ice spikes from its mouth to pierce its opponents.	0	1	12	creature		Cloudreach Cavalry	Creature — Human Soldier	2.0	W	uncommon	lgn	2003-02-03	65680bda-b999-4c2a-99a8-b03287e00807	https://scryfall.com/card/lgn/7/cloudreach-cavalry?utm_source=api	https://cards.scryfall.io/normal/front/6/5/65680bda-b999-4c2a-99a8-b03287e00807.jpg?1562915593	As long as you control a Bird, this creature gets +2/+2 and has flying.	
1213	Young Cryolophosaurus	An ancient dragon that lives in extremely cold glaciers, it can break ice by flapping its wings and make the ice fly out quickly.	0	1	12	creature		Samite Archer	Creature — Human Cleric Archer	3.0	UW	uncommon	inv	2000-10-02	07a262d7-6d0c-43d0-89b6-9f46a1a9eb69	https://scryfall.com/card/inv/269/samite-archer?utm_source=api	https://cards.scryfall.io/normal/front/0/7/07a262d7-6d0c-43d0-89b6-9f46a1a9eb69.jpg?1562896515	{T}: Prevent the next 1 damage that would be dealt to any target this turn.\n{T}: This creature deals 1 damage to any target.	
1214	Electrical package	A toaster awakened by an abnormal current will cry and bake electrified bread.	0	1	3	creature		Spined Sliver	Creature — Sliver	2.0	GR	uncommon	sth	1998-03-02	9a8a9442-7b08-4cc8-94ec-bddb8feab1a8	https://scryfall.com/card/sth/130/spined-sliver?utm_source=api	https://cards.scryfall.io/normal/front/9/a/9a8a9442-7b08-4cc8-94ec-bddb8feab1a8.jpg?1562596897	Whenever a Sliver becomes blocked, that Sliver gets +1/+1 until end of turn for each creature blocking it.	
1215	Crash and cracked screen	The screen propagates glitches, often causing electronic devices close to it to crash out of control.	0	1	11	creature		Undead Warchief	Creature — Zombie	4.0	B	uncommon	scg	2003-05-26	e6b3bcfe-be82-458b-ba59-ecb84436d747	https://scryfall.com/card/scg/78/undead-warchief?utm_source=api	https://cards.scryfall.io/normal/front/e/6/e6b3bcfe-be82-458b-ba59-ecb84436d747.jpg?1562536237	Zombie spells you cast cost {1} less to cast.\nZombie creatures you control get +2/+1.	
1216	Dan Fist Lamp Dou	When the red light lights up, it enters combat mode and will automatically lock on to the moving target.	0	1	8	creature		Ornithopter	Artifact Creature — Thopter	0.0		uncommon	6ed	1999-04-21	09c6ac8a-01b1-4af5-89d8-ad66d9a81ceb	https://scryfall.com/card/6ed/304/ornithopter?utm_source=api	https://cards.scryfall.io/normal/front/0/9/09c6ac8a-01b1-4af5-89d8-ad66d9a81ceb.jpg?1562814396	Flying	
1301	Mine Eye King	The ore on his back represents his identity.	0	2	5	creature		Emperor Crocodile	Creature — Crocodile	4.0	G	rare	uds	1999-06-07	9ccba208-1e24-45bb-a556-a3eb936efb10	https://scryfall.com/card/uds/105/emperor-crocodile?utm_source=api	https://cards.scryfall.io/normal/front/9/c/9ccba208-1e24-45bb-a556-a3eb936efb10.jpg?1562444715	When you control no other creatures, sacrifice this creature.	
1302	Desmo	A blood-sucking creature that haunts the night.	0	2	10	creature		Callous Oppressor	Creature — Octopus	3.0	U	rare	ons	2002-10-07	b3dd3ce7-e0e3-4412-9983-ff933584f59b	https://scryfall.com/card/ons/72/callous-oppressor?utm_source=api	https://cards.scryfall.io/normal/front/b/3/b3dd3ce7-e0e3-4412-9983-ff933584f59b.jpg?1562937464	You may choose not to untap this creature during your untap step.\nAs this creature enters, an opponent chooses a creature type.\n{T}: Gain control of target creature that isn't of the chosen type for as long as this creature remains tapped.	
1303	Fire Pattern Wolf	has a tattoo of fire on his back	0	2	0	creature		Bomb Squad	Creature — Dwarf	4.0	R	rare	ody	2001-10-01	8e9535a5-29ea-4085-a36b-4905d85e97ac	https://scryfall.com/card/ody/179/bomb-squad?utm_source=api	https://cards.scryfall.io/normal/front/8/e/8e9535a5-29ea-4085-a36b-4905d85e97ac.jpg?1562921431	{T}: Put a fuse counter on target creature.\nAt the beginning of your upkeep, put a fuse counter on each creature with a fuse counter on it.\nWhenever a creature has four or more fuse counters on it, remove all fuse counters from it and destroy it. That creature deals 4 damage to its controller.	
1304	Mountain Dew Dragon	An aquatic dragon that likes to glide quickly on the waves.	0	2	9	creature		Nicol Bolas	Legendary Creature — Elder Dragon	8.0	BRU	rare	chr	1995-07-01	05362cde-3b0b-4a8d-9875-675cfac52e4a	https://scryfall.com/card/chr/81/nicol-bolas?utm_source=api	https://cards.scryfall.io/normal/front/0/5/05362cde-3b0b-4a8d-9875-675cfac52e4a.jpg?1562895985	Flying\nAt the beginning of your upkeep, sacrifice Nicol Bolas unless you pay {U}{B}{R}.\nWhenever Nicol Bolas deals damage to an opponent, that player discards their hand.	
1305	Youyoudie	A butterfly with mysterious patterns on its body.	0	2	2	creature		Forgotten Ancient	Creature — Elemental	4.0	G	rare	scg	2003-05-26	49d3b91d-2e4f-4574-89f8-7b804f1d21bf	https://scryfall.com/card/scg/120/forgotten-ancient?utm_source=api	https://cards.scryfall.io/normal/front/4/9/49d3b91d-2e4f-4574-89f8-7b804f1d21bf.jpg?1562528527	Whenever a player casts a spell, you may put a +1/+1 counter on this creature.\nAt the beginning of your upkeep, you may move any number of +1/+1 counters from this creature onto other creatures.	
1306	Flamingo	It is said that there is an eternal fire in the body, which will be passed on to future generations.	0	2	0	creature		Pyre Zombie	Creature — Zombie	3.0	BR	rare	inv	2000-10-02	6c030108-2995-4fb0-9b80-efdfdd0f11e0	https://scryfall.com/card/inv/261/pyre-zombie?utm_source=api	https://cards.scryfall.io/normal/front/6/c/6c030108-2995-4fb0-9b80-efdfdd0f11e0.jpg?1562916671	At the beginning of your upkeep, if this card is in your graveyard, you may pay {1}{B}{B}. If you do, return it to your hand.\n{1}{R}{R}, Sacrifice this creature: It deals 2 damage to any target.	
1307	Troublemaker	A beast that likes to come out at night, be careful to be discovered by it.	0	2	7	creature		Master Apothecary	Creature — Human Cleric	3.0	W	rare	ody	2001-10-01	f9ff6624-ed0e-43d0-9519-112979b165f5	https://scryfall.com/card/ody/32/master-apothecary?utm_source=api	https://cards.scryfall.io/normal/front/f/9/f9ff6624-ed0e-43d0-9519-112979b165f5.jpg?1562941995	Tap an untapped Cleric you control: Prevent the next 2 damage that would be dealt to any target this turn.	
1308	Frozen Dragon	Being in an extremely cold place, everything can be frozen.	0	2	12	creature		Ayesha Tanaka	Legendary Creature — Human Artificer	4.0	UW	rare	chr	1995-07-01	8ce912d9-406b-4eba-97be-3bf1d425ee05	https://scryfall.com/card/chr/73/ayesha-tanaka?utm_source=api	https://cards.scryfall.io/normal/front/8/c/8ce912d9-406b-4eba-97be-3bf1d425ee05.jpg?1562923488	Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)\n{T}: Counter target activated ability from an artifact source unless that ability's controller pays {W}. (Mana abilities can't be targeted.)	
1309	Magnetic Beetle	Group movement will form a swarm of insects and use electromagnetic force to attack together.	0	2	8	creature		Urza's Avenger	Artifact Creature — Shapeshifter	6.0		rare	5ed	1997-03-24	60bd9559-1a8f-47d0-af6b-d0681cae4060	https://scryfall.com/card/5ed/405/urzas-avenger?utm_source=api	https://cards.scryfall.io/normal/front/6/0/60bd9559-1a8f-47d0-af6b-d0681cae4060.jpg?1562591335	{0}: This creature gets -1/-1 and gains your choice of banding, flying, first strike, or trample until end of turn. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)	
1310	Attack the Demon	He is good at launching attacks from the air and has super explosive power.	0	2	0	creature		Goblin Piledriver	Creature — Goblin Warrior	2.0	R	rare	ons	2002-10-07	f6c4df1f-f148-42ec-8e22-e7114216927d	https://scryfall.com/card/ons/205/goblin-piledriver?utm_source=api	https://cards.scryfall.io/normal/front/f/6/f6c4df1f-f148-42ec-8e22-e7114216927d.jpg?1562953490	Protection from blue (This creature can't be blocked, targeted, dealt damage, or enchanted by anything blue.)\nWhenever this creature attacks, it gets +2/+0 until end of turn for each other attacking Goblin.	
1311	Rainbow cat fish	An elegant and agile dreamlike amphibious creature.	0	2	1	creature		Lu Su, Wu Advisor	Legendary Creature — Human Advisor	5.0	U	rare	ptk	1999-05-01	9d361823-31ce-42c4-997d-3d3b52c0599a	https://scryfall.com/card/ptk/47/lu-su-wu-advisor?utm_source=api	https://cards.scryfall.io/normal/front/9/d/9d361823-31ce-42c4-997d-3d3b52c0599a.jpg?1562257496	{T}: Draw a card. Activate only during your turn, before attackers are declared.	
1312	Bubu	Its wings can fan out cold wind.	0	2	12	creature		Kjeldoran Knight	Creature — Human Knight	2.0	W	rare	ice	1995-06-03	d5b9db8f-93b5-44e3-9e2b-728c80dfbb37	https://scryfall.com/card/ice/36/kjeldoran-knight?utm_source=api	https://cards.scryfall.io/normal/front/d/5/d5b9db8f-93b5-44e3-9e2b-728c80dfbb37.jpg?1587911526	Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)\n{1}{W}: This creature gets +1/+0 until end of turn.\n{W}{W}: This creature gets +0/+2 until end of turn.	
