game_card_id	mtg_name	flavor_text
1312	Kjeldoran Knight	Kjeldoran Knight is known for one thing: honor wears a sharpened edge.
1313	Bomb Squad	Trainers whisper of Bomb Squad: thunder trails a step behind.
1314	Thundercloud Elemental	The trail of Thundercloud Elemental says it clearly: something old waits behind the grin.
1315	Will-o'-the-Wisp	No one forgets Will-o'-the-Wisp when a candle flickers with no hand nearby.
1316	Mold Demon	Mold Demon leaves this sign: A shadow crosses and stays.
1317	Skulking Ghost	No one forgets Skulking Ghost when something old waits behind the grin.
1318	Guiltfeeder	Trainers whisper of Guiltfeeder: something old waits behind the grin.
1319	Headless Horseman	The trail of Headless Horseman says it clearly: the mask smiles after midnight.
1320	Sengir Bats	No one forgets Sengir Bats when something old waits behind the grin.
1321	Lord of the Pit	The trail of Lord of the Pit says it clearly: the mask smiles after midnight.
1322	Shivan Dragon	Old wings, hot breath, and a throne of smoke.
1323	Juzám Djinn	A dangerous wish with a giant's shadow.
1324	Jackal Pup	Jackal Pup is known for one thing: wild instinct chooses the path.
1325	Timber Wolves	Timber Wolves leaves this sign: Green strength gathers quietly.
1326	Wild Mongrel	Wild Mongrel leaves this sign: Loyalty comes with teeth.
1327	Guiding Spirit	Trainers whisper of Guiding Spirit: hope descends with a blade.
1328	Clockwork Avian	No one forgets Clockwork Avian when a bright wing cuts the sky.
1329	Nether Shadow	The trail of Nether Shadow says it clearly: a lantern flickers when it passes.
1330	Black Knight	The trail of Black Knight says it clearly: an old oath rides in steel.
1331	Warping Wurm	No one forgets Warping Wurm when the ground opens for its hunger.
1401	Vesuvan Doppelganger	No one forgets Vesuvan Doppelganger when old forest strength charges forward.
1402	Firestorm Phoenix	Trainers whisper of Firestorm Phoenix: ash is only a pause.
1403	Mirri, Cat Warrior	The old stories keep a place for Mirri, Cat Warrior.
1404	Gorilla Titan	Where Gorilla Titan goes, the trees shake first.
1405	Fire Drake	No one forgets Fire Drake when it wheels above the smoke.
1406	Tetravus	The trail of Tetravus says it clearly: built long ago, still obeying.
1407	Giant Shark	Giant Shark is known for one thing: a fin cuts through silence.
1408	Triskelion	Triskelion is known for one thing: built long ago, still obeying.
2101	Rogue Elephant	Trainers whisper of Rogue Elephant: the charge changes the map.
2102	Giant Oyster	Giant Oyster is known for one thing: the tide bends near it.
2103	Dire Wolves	Dire Wolves is known for one thing: green strength gathers quietly.
2104	Kyren Sniper	The trail of Kyren Sniper says it clearly: dust rises around it.
2105	Zodiac Monkey	Zodiac Monkey leaves this sign: Quick hands invite trouble.
2106	Snarling Undorak	The trail of Snarling Undorak says it clearly: instinct settles the argument.
2107	Vampire Bats	Where Vampire Bats goes, a roar becomes weather.
2108	Cloud Sprite	Cloud Sprite is known for one thing: small wings, sharp tricks.
2109	Goblin Grappler	Goblin Grappler leaves this sign: Smoke follows every step.
2110	Dragon Whelp	The trail of Dragon Whelp says it clearly: its shadow arrives before the roar.
2111	Fungusaur	Fungusaur is known for one thing: spores drift like tiny omens.
2112	Hunting Drake	Where Hunting Drake goes, it wheels above the smoke.
2113	Thunder Spirit	Trainers whisper of Thunder Spirit: the past borrows a body.
2114	Teferi's Drake	The trail of Teferi's Drake says it clearly: it wheels above the smoke.
2115	Thallid	The trail of Thallid says it clearly: spores drift like tiny omens.
2201	Goblin Snowman	Where Goblin Snowman goes, heat gathers around its name.
2202	Brine Hag	Trainers whisper of Brine Hag: blue shadows move below.
2203	Goblin Warchief	The trail of Goblin Warchief says it clearly: heat gathers around its name.
2204	Boneshard Slasher	Where Boneshard Slasher goes, the dark learned a new shape.
2205	Whirling Dervish	Where Whirling Dervish goes, the swarm notices first.
2206	Dauthi Trapper	Dauthi Trapper leaves this sign: The swarm notices first.
2301	Spike Feeder	Trainers whisper of Spike Feeder: claws decide what words cannot.
2302	Man-o'-War	Man-o'-War is known for one thing: a bright shape slips below.
2303	Halfdane	When Halfdane appears, even old rivals remember.
2304	Black Lotus	A perfect bloom. A moment of impossible power.
2305	Kjeldoran Phalanx	Kjeldoran Phalanx leaves this sign: Wild instinct chooses the path.
2306	Dralnu's Pet	Dralnu's Pet is known for one thing: old forest strength charges forward.
2307	Blistering Firecat	Trainers whisper of Blistering Firecat: raw magic chooses a body.
2308	Gigapede	Gigapede leaves this sign: One wingbeat becomes a swarm.
2309	Tempest Efreet	Where Tempest Efreet goes, smoke and pride take form.
2310	Krovikan Horror	Trainers whisper of Krovikan Horror: fear gives it room to breathe.
2311	Pygmy Hippo	Pygmy Hippo leaves this sign: Blue shadows move below.
2312	Wall of Roots	Trainers whisper of Wall of Roots: green life grows teeth.
2313	Sustaining Spirit	Sustaining Spirit is known for one thing: hope descends with a blade.
2314	Time Walk	One step bends into another turn.
2315	Rootwater Shaman	Trainers whisper of Rootwater Shaman: the sea answers in song.
2316	Atog	The trail of Atog says it clearly: hunger has a very strange smile.
2317	Timmerian Fiends	No one forgets Timmerian Fiends when the dark learned a new shape.
2318	Lightning Dragon	Lightning Dragon leaves this sign: The sky remembers this one.
2319	Ancestral Recall	Three old memories arrive like lightning.
2401	Scryb Sprites	Scryb Sprites is known for one thing: small wings, sharp tricks.
2402	Lichenthrope	Lichenthrope is known for one thing: roots remember old magic.
2403	Phantom Nishoba	Phantom Nishoba leaves this sign: The past borrows a body.
2404	Great Whale	Trainers whisper of Great Whale: a living island turns below.
2405	Spectral Bears	Where Spectral Bears goes, the past borrows a body.
2406	Timetwister	Past and future tumble through the same door.
2407	Jareth, Leonine Titan	Jareth, Leonine Titan arrives with an old legend at its back.
2408	Sol Ring	A small circle holding a sun's worth of power.
3101	Wall of Shadows	Wall of Shadows is known for one thing: the path ends here.
3102	Clockwork Beast	Trainers whisper of Clockwork Beast: instinct settles the argument.
3103	Battering Ram	Battering Ram is known for one thing: old gears wake with purpose.
3104	Urborg Phantom	The trail of Urborg Phantom says it clearly: the past borrows a body.
3105	Daru Stinger	Trainers whisper of Daru Stinger: claws decide what words cannot.
3106	Aven Farseer	The trail of Aven Farseer says it clearly: a bright wing cuts the sky.
3107	Giant Albatross	Giant Albatross is known for one thing: it reads the wind first.
3108	Thunder Dragon	Thunder Dragon is known for one thing: the sky remembers this one.
3109	Auramancer	No one forgets Auramancer when one word tilts the battle.
3110	Bloodfire Dwarf	No one forgets Bloodfire Dwarf when smoke follows every step.
3111	Goblin Ski Patrol	Goblin Ski Patrol is known for one thing: thunder trails a step behind.
3112	Chicken Egg	Trainers whisper of Chicken Egg: heat gathers around its name.
3113	Goblin Sky Raider	The trail of Goblin Sky Raider says it clearly: a red spark refuses to die.
3114	Soldevi Sentry	Soldevi Sentry is known for one thing: old machinery finds its rhythm.
3115	Goblin Raider	Goblin Raider is known for one thing: heat gathers around its name.
3201	Voice of Truth	No one forgets Voice of Truth when hope descends with a blade.
3202	Raven Familiar	Raven Familiar leaves this sign: It reads the wind first.
3203	Skyshroud Elite	Skyshroud Elite is known for one thing: old roots stir beneath it.
3204	Orcish Cannoneers	No one forgets Orcish Cannoneers when a red spark refuses to die.
3205	Frost Giant	Frost Giant leaves this sign: Heat gathers around its name.
3206	Killer Bees	Where Killer Bees goes, one wingbeat becomes a swarm.
3207	Bloodline Shaman	Where Bloodline Shaman goes, old study becomes sudden power.
3208	Zombie Mob	Zombie Mob is known for one thing: the grave forgot to hold it.
3209	Soldevi Sage	No one forgets Soldevi Sage when old study becomes sudden power.
3210	Crosis's Attendant	Crosis's Attendant leaves this sign: Stone remembers its maker.
3301	Flametongue Kavu	No one forgets Flametongue Kavu when heat gathers around its name.
3302	Harbinger of Night	Harbinger of Night is known for one thing: a lantern flickers when it passes.
3303	Tahngarth, Talruum Hero	Tahngarth, Talruum Hero walks in with history close behind.
3304	Elven Warhounds	Where Elven Warhounds goes, it follows trouble by scent.
3305	Psychatog	Psychatog is known for one thing: hunger has a very strange smile.
3306	Nantuko Shade	Where Nantuko Shade goes, its shadow carries a blade.
3307	Chromeshell Crab	No one forgets Chromeshell Crab when the warning growl comes too late.
3308	Giant Badger	Giant Badger is known for one thing: tiny wings carry a warning.
3309	Squirrel Mob	Trainers whisper of Squirrel Mob: the forest leans closer.
3310	Mother of Runes	Where Mother of Runes goes, deep currents keep its secret.
3311	Withered Wretch	Withered Wretch is known for one thing: the grave forgot to hold it.
3312	Nalathni Dragon	Trainers whisper of Nalathni Dragon: old flame gathers under its wings.
3313	Thran Golem	Thran Golem leaves this sign: Stone remembers its maker.
3314	Phyrexian Infiltrator	No one forgets Phyrexian Infiltrator when old magic walks beside it.
3315	Rootwater Thief	Rootwater Thief leaves this sign: The sea answers in song.
3401	Leviathan	Leviathan is known for one thing: the horizon learns to fear the deep.
3402	War Mammoth	No one forgets War Mammoth when gentle eyes, unstoppable weight.
3403	Clone	Clone leaves this sign: The trees shake first.
3404	Mahamoti Djinn	The trail of Mahamoti Djinn says it clearly: a wish becomes a warning.
3405	Lord of Atlantis	Where Lord of Atlantis goes, a ripple becomes a warning.
3406	Serra Angel	A bright omen with a sword in the clouds.
3407	Erhnam Djinn	No one forgets Erhnam Djinn when a wish becomes a warning.
3408	Juggernaut	The trail of Juggernaut says it clearly: the world makes room.
3409	Birds of Paradise	Every color of magic takes wing at once.
4101	Samite Healer	The trail of Samite Healer says it clearly: wild instinct chooses the path.
4102	Dwarven Scorcher	Dwarven Scorcher is known for one thing: a red spark refuses to die.
4103	Lightning Elemental	Lightning Elemental leaves this sign: Raw magic chooses a body.
4104	Blood Celebrant	Trainers whisper of Blood Celebrant: a shadow learns its name.
4105	Blastoderm	No one forgets Blastoderm when instinct settles the argument.
4106	Gorilla Berserkers	Gorilla Berserkers is known for one thing: the trees shake first.
4107	Llanowar Sentinel	Llanowar Sentinel is known for one thing: the forest leans closer.
4108	Skirk Prospector	Skirk Prospector is known for one thing: heat gathers around its name.
4109	Icatian Infantry	Trainers whisper of Icatian Infantry: claws decide what words cannot.
4110	Harvester Druid	Trainers whisper of Harvester Druid: claws decide what words cannot.
4111	Arctic Foxes	Where Arctic Foxes goes, the unseen hand moves first.
4112	Ridgeline Rager	No one forgets Ridgeline Rager when instinct settles the argument.
4113	Merfolk Traders	Merfolk Traders leaves this sign: The sea answers in song.
4114	Hornet Cobra	The trail of Hornet Cobra says it clearly: patience wears scales.
4115	Soldevi Heretic	Soldevi Heretic is known for one thing: thunder trails a step behind.
4116	Urborg Skeleton	Trainers whisper of Urborg Skeleton: a shadow learns its name.
4117	Drudge Skeletons	No one forgets Drudge Skeletons when old magic walks beside it.
4201	Clockwork Steed	The trail of Clockwork Steed says it clearly: it runs like a storm breaking.
4202	Pavel Maliki	Pavel Maliki walks in with history close behind.
4203	Dwarven Blastminer	Trainers whisper of Dwarven Blastminer: dust rises around it.
4204	Wildfire Emissary	Trainers whisper of Wildfire Emissary: fire bows, then lashes out.
4301	Tek	Tek is known for one thing: the sky remembers this one.
4302	Cloud Dragon	Cloud Dragon leaves this sign: Old flame gathers under its wings.
4303	Dromar, the Banisher	When Dromar, the Banisher appears, even old rivals remember.
4304	Phyrexian Negator	Where Phyrexian Negator goes, the dark learned a new shape.
4305	Unstable Shapeshifter	Unstable Shapeshifter leaves this sign: Old forest strength charges forward.
4306	White Knight	The trail of White Knight says it clearly: an old oath rides in steel.
4307	Stone Giant	The trail of Stone Giant says it clearly: old weight gives it purpose.
4308	Ihsan's Shade	The old stories keep a place for Ihsan's Shade.
4309	Goblin Flotilla	The trail of Goblin Flotilla says it clearly: thunder trails a step behind.
4310	Dwarven Pony	Dwarven Pony is known for one thing: it runs like a storm breaking.
4311	Faerie Noble	Trainers whisper of Faerie Noble: it laughs from somewhere nearby.
4312	Frenetic Efreet	Where Frenetic Efreet goes, fire bows, then lashes out.
4313	Aboroth	Aboroth leaves this sign: Raw magic chooses a body.
4314	Phyrexian Dreadnought	Too much machine for any battlefield to hold.
4315	Palinchron	No one forgets Palinchron when the lie casts a true shadow.
4316	Yavimaya Elder	The trail of Yavimaya Elder says it clearly: the forest leans closer.
4317	Musician	No one forgets Musician when one word tilts the battle.
4318	Storm Spirit	The trail of Storm Spirit says it clearly: the past borrows a body.
4401	Serendib Djinn	No one forgets Serendib Djinn when ancient power answers badly.
4402	Force of Nature	The forest's anger given colossal form.
4403	Masticore	A metal predator with hunger in every joint.
4404	Old Man of the Sea	Old Man of the Sea leaves this sign: Ancient power answers badly.
4405	Morphling	A perfect shape that never stays still.
4406	Spiritmonger	It grows stronger on the edge of ruin.
4407	Verdant Force	The trail of Verdant Force says it clearly: raw magic chooses a body.
4408	Su-Chi	The trail of Su-Chi says it clearly: old gears wake with purpose.
4409	Skizzik	Skizzik leaves this sign: Raw magic chooses a body.
4410	Braids, Cabal Minion	Braids, Cabal Minion walks in with history close behind.
5101	Barbarian Guides	No one forgets Barbarian Guides when a red spark refuses to die.
5102	Raka Disciple	Trainers whisper of Raka Disciple: one word tilts the battle.
5103	Pyric Salamander	Where Pyric Salamander goes, the road bends under its weight.
5104	Clockwork Swarm	Where Clockwork Swarm goes, small bodies carry endless hunger.
5105	Giant Mantis	No one forgets Giant Mantis when one wingbeat becomes a swarm.
5106	Kobolds of Kher Keep	Kobolds of Kher Keep is known for one thing: old weight gives it purpose.
5107	Liberated Dwarf	The trail of Liberated Dwarf says it clearly: a red spark refuses to die.
5108	Barbarian Lunatic	Where Barbarian Lunatic goes, buried things answer softly.
5110	Dwarven Berserker	Trainers whisper of Dwarven Berserker: a red spark refuses to die.
5111	Willow Elf	Trainers whisper of Willow Elf: the forest leans closer.
5112	Kjeldoran Skyknight	Where Kjeldoran Skyknight goes, an old oath rides in steel.
5113	Mesa Pegasus	Where Mesa Pegasus goes, winter keeps close company.
5114	Keeneye Aven	Keeneye Aven is known for one thing: a bright wing cuts the sky.
5115	Shadow Guildmage	Where Shadow Guildmage goes, one word tilts the battle.
5116	Merchant of Secrets	No one forgets Merchant of Secrets when one word tilts the battle.
5117	Devouring Deep	Where Devouring Deep goes, a bright shape slips below.
5118	Sparksmith	The trail of Sparksmith says it clearly: lightning waits under the skin.
5119	Dega Disciple	Dega Disciple is known for one thing: old study becomes sudden power.
5120	Information Dealer	Information Dealer is known for one thing: old study becomes sudden power.
5121	Cephalid Looter	Cephalid Looter leaves this sign: Eight arms, one patient mind.
5122	Storm Crow	Storm Crow is known for one thing: a bright wing cuts the sky.
5123	Colos Yearling	Where Colos Yearling goes, instinct settles the argument.
5124	Goblin Sledder	Goblin Sledder is known for one thing: a red spark refuses to die.
5201	Crystal Golem	Crystal Golem leaves this sign: Ancient hands move again.
5202	Spore Flower	Spore Flower leaves this sign: It blooms where safer things decay.
5203	Firebrand Ranger	No one forgets Firebrand Ranger when green strength gathers quietly.
5204	Suq'Ata Firewalker	Suq'Ata Firewalker is known for one thing: one word tilts the battle.
5205	Sea Spirit	Where Sea Spirit goes, a lantern flickers when it passes.
5206	Balduvian Dead	Balduvian Dead leaves this sign: The grave forgot to hold it.
5207	Cephalid Illusionist	Where Cephalid Illusionist goes, eight arms, one patient mind.
5208	Aphetto Grifter	Trainers whisper of Aphetto Grifter: one word tilts the battle.
5209	Airdrop Condor	Trainers whisper of Airdrop Condor: it reads the wind first.
5210	Jhoira's Toolbox	Jhoira's Toolbox leaves this sign: One wingbeat becomes a swarm.
5301	Scalpelexis	Scalpelexis is known for one thing: instinct settles the argument.
5302	Cloud of Faeries	Cloud of Faeries is known for one thing: it laughs from somewhere nearby.
5303	Goblin King	The trail of Goblin King says it clearly: ancient wings darken the sun.
5304	Ancient Silverback	Ancient Silverback leaves this sign: The trees shake first.
5305	Uktabi Orangutan	No one forgets Uktabi Orangutan when the trees shake first.
5306	Blurred Mongoose	Blurred Mongoose leaves this sign: The sky makes room.
5307	Discordant Spirit	Discordant Spirit is known for one thing: a lantern flickers when it passes.
5308	Thundermare	Trainers whisper of Thundermare: the world moves through it.
5309	Blinding Angel	Where Blinding Angel goes, hope descends with a blade.
5310	Serra Avatar	A soul so bright it becomes a body.
5311	Sun Quan, Lord of Wu	When Sun Quan, Lord of Wu appears, even old rivals remember.
5312	Mogg Fanatic	Mogg Fanatic is known for one thing: smoke follows every step.
5313	Karmic Guide	Trainers whisper of Karmic Guide: light sharpens at its arrival.
5314	Gargantuan Gorilla	The trail of Gargantuan Gorilla says it clearly: the trees shake first.
5315	Vexing Beetle	Vexing Beetle leaves this sign: Small bodies carry endless hunger.
5316	Copper Gnomes	Where Copper Gnomes goes, a small machine with a stubborn spark.
5317	Selenia, Dark Angel	Selenia, Dark Angel arrives with an old legend at its back.
5318	Lightning Angel	No one forgets Lightning Angel when hope descends with a blade.
5319	Lu Su, Wu Advisor	Lu Su, Wu Advisor arrives with an old legend at its back.
5401	Craw Wurm	The trail of Craw Wurm says it clearly: a tunnel becomes a warning.
5402	Hypnotic Specter	A midnight rider stealing thoughts from the air.
5403	Shivan Wurm	Shivan Wurm is known for one thing: a tunnel becomes a warning.
5404	Woolly Mammoths	Where Woolly Mammoths goes, the charge changes the map.
5405	Thorn Elemental	Thorn Elemental is known for one thing: the world moves through it.
5406	Karn, Silver Golem	Silver hands, ancient heart, endless memory.
5407	Royal Assassin	Trainers whisper of Royal Assassin: the blade arrives without ceremony.
5408	Revered Unicorn	No one forgets Revered Unicorn when wild instinct chooses the path.
5409	Nightmare	Nightmare leaves this sign: Thunder gathers under its hooves.
5410	Two-Headed Dragon	Trainers whisper of Two-Headed Dragon: the sky remembers this one.
6101	Thalakos Sentry	Thalakos Sentry is known for one thing: winter keeps close company.
6102	Mesmeric Fiend	Mesmeric Fiend is known for one thing: fear gives it room to breathe.
6103	Balduvian Shaman	No one forgets Balduvian Shaman when lightning waits under the skin.
6104	Standard Bearer	No one forgets Standard Bearer when the forest gives one warning.
6105	Razorfin Hunter	Razorfin Hunter leaves this sign: The sea answers in song.
6106	Frozen Shade	The trail of Frozen Shade says it clearly: its shadow carries a blade.
6107	Wall of Corpses	Wall of Corpses is known for one thing: the path ends here.
6108	Ascending Aven	Ascending Aven is known for one thing: a bright wing cuts the sky.
6109	Benalish Hero	Benalish Hero is known for one thing: silence bends around its mind.
6110	Coalition Honor Guard	No one forgets Coalition Honor Guard when heavy paws end the debate.
6111	Glimmering Angel	Where Glimmering Angel goes, hope descends with a blade.
6112	Goblin Mountaineer	The trail of Goblin Mountaineer says it clearly: the road bends under its weight.
6113	Treetop Scout	Treetop Scout leaves this sign: Dust rises around it.
6114	Pygmy Pyrosaur	Pygmy Pyrosaur is known for one thing: old weight gives it purpose.
6115	Heart Sliver	Where Heart Sliver goes, a red spark refuses to die.
6116	Laccolith Whelp	No one forgets Laccolith Whelp when the warning growl comes too late.
6117	Metallic Sliver	Metallic Sliver leaves this sign: Old machinery finds its rhythm.
6118	Wall of Vapor	No one forgets Wall of Vapor when the path ends here.
6119	Kjeldoran Warrior	The trail of Kjeldoran Warrior says it clearly: a thought changes the fight.
6120	Phyrexian War Beast	Where Phyrexian War Beast goes, the warning growl comes too late.
6121	Aesthir Glider	Trainers whisper of Aesthir Glider: a bright wing cuts the sky.
6123	Roterothopter	The trail of Roterothopter says it clearly: a relic cuts the air.
6124	Orcish Lumberjack	Trainers whisper of Orcish Lumberjack: heat gathers around its name.
6125	Stormscape Familiar	Stormscape Familiar leaves this sign: It reads the wind first.
6126	Argothian Pixies	The trail of Argothian Pixies says it clearly: it laughs from somewhere nearby.
6127	Goblin Chariot	Trainers whisper of Goblin Chariot: lightning waits under the skin.
6201	Wall of Tombstones	Trainers whisper of Wall of Tombstones: it does not chase. It does not need to.
6202	Volunteer Reserves	The trail of Volunteer Reserves says it clearly: winter keeps close company.
6203	Fleeting Aven	Fleeting Aven leaves this sign: It reads the wind first.
6204	Viseling	Viseling is known for one thing: old gears wake with purpose.
6205	Rainbow Crow	Where Rainbow Crow goes, a bright wing cuts the sky.
6206	Wirewood Hivemaster	Trainers whisper of Wirewood Hivemaster: the hunt begins in silence.
6207	Millikin	No one forgets Millikin when built long ago, still obeying.
6208	Chambered Nautilus	The trail of Chambered Nautilus says it clearly: instinct settles the argument.
6209	Balshan Beguiler	Trainers whisper of Balshan Beguiler: old study becomes sudden power.
6301	Derelor	Derelor is known for one thing: old magic walks beside it.
6302	Abyssal Specter	No one forgets Abyssal Specter when it steals courage before blood.
6303	River Boa	River Boa leaves this sign: Patience wears scales.
6304	Bottle Gnomes	No one forgets Bottle Gnomes when tiny gears, troublesome courage.
6305	Ophidian	Where Ophidian goes, patience wears scales.
6306	Ambush Commander	The trail of Ambush Commander says it clearly: the hunt begins in silence.
6307	Rofellos, Llanowar Emissary	Rofellos, Llanowar Emissary walks in with history close behind.
6308	Ayesha Tanaka	The old stories keep a place for Ayesha Tanaka.
6309	Dreamborn Muse	No one forgets Dreamborn Muse when a lantern flickers when it passes.
6310	Lin Sivvi, Defiant Hero	The old stories keep a place for Lin Sivvi, Defiant Hero.
6311	Menacing Ogre	Menacing Ogre leaves this sign: Smoke follows every step.
6312	Quirion Ranger	Quirion Ranger is known for one thing: blue shadows move below.
6313	Elvish Champion	The trail of Elvish Champion says it clearly: the forest leans closer.
6314	Fleeting Image	The trail of Fleeting Image says it clearly: the lie casts a true shadow.
6315	Priest of Titania	Priest of Titania is known for one thing: old roots stir beneath it.
6316	Tribal Forcemage	Tribal Forcemage is known for one thing: old study becomes sudden power.
6317	River Merfolk	River Merfolk leaves this sign: A ripple becomes a warning.
6318	Thalakos Drifters	No one forgets Thalakos Drifters when deep currents keep its secret.
6319	Copper-Leaf Angel	Copper-Leaf Angel leaves this sign: Light sharpens at its arrival.
6320	Wayward Angel	Trainers whisper of Wayward Angel: light sharpens at its arrival.
6321	Lavaborn Muse	The trail of Lavaborn Muse says it clearly: the past borrows a body.
6322	Goblin Matron	No one forgets Goblin Matron when the road bends under its weight.
6323	Meddling Mage	Meddling Mage leaves this sign: Old study becomes sudden power.
6401	Spike Weaver	No one forgets Spike Weaver when a roar becomes weather.
6402	Maro	The trail of Maro says it clearly: the world moves through it.
6403	Ravenous Baloth	The trail of Ravenous Baloth says it clearly: instinct settles the argument.
6404	Tradewind Rider	No one forgets Tradewind Rider when the past borrows a body.
6405	Polar Kraken	Trainers whisper of Polar Kraken: depth itself reaches upward.
6406	Giant Octopus	No one forgets Giant Octopus when eight arms, one patient mind.
6407	Ali from Cairo	Where Ali from Cairo goes, buried things answer softly.
6408	Zodiac Dragon	Where Zodiac Dragon goes, old flame gathers under its wings.
6409	Wall of Blossoms	No one forgets Wall of Blossoms when green life grows teeth.
6410	Marjhan	Trainers whisper of Marjhan: old water coils around it.
7101	Krosan Wayfarer	Krosan Wayfarer leaves this sign: Claws decide what words cannot.
7102	Quirion Explorer	Quirion Explorer is known for one thing: chitin clicks in the grass.
7103	Harvest Mage	No one forgets Harvest Mage when the trees shake first.
7104	Elvish Pioneer	Elvish Pioneer is known for one thing: buried things answer softly.
7105	Diligent Farmhand	Diligent Farmhand leaves this sign: Stone remembers the impact.
7106	Mistform Sliver	No one forgets Mistform Sliver when real enough when the blade lands.
7107	Urborg Elf	Where Urborg Elf goes, a thought changes the fight.
7108	Crafty Pathmage	Where Crafty Pathmage goes, one word tilts the battle.
7109	Metathran Soldier	The trail of Metathran Soldier says it clearly: the next spark knows where to land.
7110	Marsh Viper	No one forgets Marsh Viper when patience wears scales.
7111	Wirewood Guardian	Wirewood Guardian leaves this sign: Dust rises around it.
7112	Spiketail Hatchling	Trainers whisper of Spiketail Hatchling: it wheels above the smoke.
7113	Goblin Taskmaster	Goblin Taskmaster is known for one thing: a red spark refuses to die.
7114	Dream Fighter	No one forgets Dream Fighter when the next spark knows where to land.
7115	Pardic Swordsmith	The trail of Pardic Swordsmith says it clearly: a red spark refuses to die.
7116	Bogardan Firefiend	Bogardan Firefiend leaves this sign: The past borrows a body.
7117	Carrion Feeder	Trainers whisper of Carrion Feeder: the grave forgot to hold it.
7118	Gustcloak Runner	Gustcloak Runner leaves this sign: The hunt begins in silence.
7119	Goblin Patrol	The trail of Goblin Patrol says it clearly: old weight gives it purpose.
